word	phonetic	chinese	english
accurate	'ækjurәt	a. 正确的, 精确的；准确的, 精确的	a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy / s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct
accurately	'ækjurәtli	adv. 正确地, 精确地	r. with few mistakes / r. strictly correctly
accusation	ækju:'zeiʃәn	n. 控告, 指控, 指责；控告, 起诉, 告发	n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt / n. an assertion that someone is guilty of a fault or offence
accuse	ә'kju:z	vt. 指责, 控告, 归咎于；vi. 指责, 控告	v. bring an accusation against; level a charge against
accustom	ә'kʌstәm	vt. 使习惯于	v make psychologically or physically used (to something)
ache	eik	n. 疼痛；vi. 痛, 哀怜, 渴望	n. a dull persistent (usually moderately intense) pain / v. have a desire for something or someone who is not present / v. be the source of pain
achieve	ә'tʃi:v	vt. 完成, 达到；vi. 如愿以偿	v. to gain with effort
achievement	ә'tʃi:vmәnt	n. 完成, 成就, 功业	n the action of accomplishing something
acid	'æsid	n. 酸, 酸类物质, 尖刻, 迷幻药；a. 酸的, 酸性的, 尖刻的, 敏锐的；自动文档互参与索引生成程序	n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt / n. street name for lysergic acid diethylamide / s. having the characteristics of an acid
acknowledge	әk'nɒlidʒ	vt. 承认, 告知收悉, 答谢, 报偿；承认, 答谢, 收到的通知	v. report the receipt of / v. express obligation, thanks, or gratitude for / v. accept as legally binding and valid
acquaintance	ә'kweintәns	n. 认识, 相识者	n. personal knowledge or information about someone or something / n. a relationship less intimate than friendship / n. a person with whom you are acquainted
acquire	ә'kwaiә	vt. 获得, 学到；目标锁定	v. locate (a moving entity) by means of a tracking system such as radar / v. win something through one's efforts
acquisition	.ækwi'ziʃәn	n. 获得, 获得物；收购, 招揽, 取得	n. the act of contracting or assuming or acquiring possession of something / n. something acquired
across	ә'krɒs	prep. 越过, 穿过, 与...相交叉, 在...的对面；adv. 交叉, 到另一边, 在对面, 成十字	r. to the opposite side / r. transversely
act	ækt	n. 行动, 行为, 幕, 法案；vi. 行动, 表演, 假装, 见效, 表现, 担当；vt. 扮演, 装作	n. a legal document codifying the result of deliberations of a committee or society or legislative body / n. something that people do or cause to happen / n. a subdivision of a play or opera or ballet
action	'ækʃәn	n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼；vt. 对...起诉；方式	n. something done (usually as opposed to something said) / n. the state of being active / n. the series of events that form a plot
activate	'æktiveit	vt. 使活动, 使激活, 正式建成；vi. 有活力	v. make active or more active / v. make more adsorptive / v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
active	'æktiv	a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的；n. 主动语态, 积极分子	n. a person who is a participating member of an organization / a. tending to become more severe or wider in scope / s. engaged in or ready for military or naval operations
actively	'æktivli	adv. 活跃地, 积极地	r. in an active manner
activism	'æktivizm	n. 激进主义, 行动主义, 能动论；激进主义, 行动主义	n. a policy of taking direct and militant action to achieve a political or social goal
activist	'æktivist	n. 激进主义分子	s. advocating or engaged in activism
activity	æk'tiviti	n. 活动, 行动, 活跃, 活力；活动	n. any specific behavior / n. (chemistry) the capacity of a substance to take part in a chemical reaction
actor	'æktә	n. 男演员, 行动者；作用物, 反应物	n. a theatrical performer / n. a person who acts and gets things done
actress	'æktris	n. 女演员	n. a female actor
actual	'æktʃuәl	a. 真实的, 实际的, 现行的；实际死亡率	a. presently existing in fact and not merely potential or possible / s. taking place in reality; not pretended or imitated / s. being or reflecting the essential or genuine character of something
actually	'æktʃuәli	adv. 事实上, 竟然, 如今, 现在	r. in actual fact / r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly / r. at the present moment
acute	ә'kju:t	a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的；急性的; 尖锐的	a. having or experiencing a rapid onset and short but severe course / s. extremely sharp or intense / s. having or demonstrating ability to recognize or draw fine distinctions
ad	æd	n. 广告；地址, 模拟-数字	n. a public promotion of some product or service / r. in the Christian era; used before dates after the supposed year Christ was born
adapt	ә'dæpt	vt. 使适应, 改编；vi. 适应	v. make fit for, or change to suit a new purpose
adaptation	.ædæp'teiʃәn	n. 适应, 改编, 改编本；适应	n. a written work (as a novel) that has been recast in a new form / n. the process of adapting to something (such as environmental conditions) / n. (physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)
add	æd	vt. 增加, 添加, 附带说明, 计算...总和；vi. 做加法, 积累而成, 增添；加法	v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of / v. state or say further / v. make an addition by combining numbers
added	'ædid	a. 额外的；更多的	v make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of / v state or say further / v bestow a quality on
addict	ә'dikt	vt. 使沉溺, 使上瘾；n. 入迷的人, 上瘾者	n. someone who is so ardently devoted to something that it resembles an addiction / n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms / v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)
addiction	ә'dikʃәn	n. 入迷, 瘾；瘾, 癖嗜	n. being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs) / n. an abnormally strong craving / n. (Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master
addition	ә'diʃәn	n. 加法, 增加的人(或物)；加法	n. a component that is added to something to improve it / n. the act of adding one thing to another / n. a quantity that is added
additional	ә'diʃәnәl	a. 附加的, 另外的, 额外的；加添的, 附加的	s further or added
additionally		adv. 另外, 此外	r. in addition, by way of addition; furthermore
address	ә'dres	n. 住址, 演说, 举止, 灵巧, 求爱；vt. 发表(演说或讲话), 对付, 写地址；地址, 寻址	n. (computer science) the code that identifies where a piece of information is stored / n. the place where a person or organization can be found or communicated with / n. the act of delivering a formal spoken communication to an audience
adequate	'ædikwәt	a. 适当的, 足够的；胜任的, 适当的, 充分的	a. having the requisite qualities or resources to meet a task / s. sufficient for the purpose / s. about average; acceptable
adequately	'ædikwәtli	adv. 足够地, 适当地	r. in an adequate manner or to an adequate degree
adhere	әd'hiә	vi. 依附, 粘着, 坚持, 追随, 拥护；vt. 使粘附	v. be compatible or in accordance with / v. follow through or carry out a plan without deviation / v. be a devoted follower or supporter
adjacent	ә'dʒeisәnt	a. 毗连的, 邻近的, 连接的；相邻的, 邻位的, 交界的	s. nearest in space or position; immediately adjoining without intervening space / s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut" / s. near or close to but not necessarily touching
adjust	ә'dʒʌst	vt. 调整, 使适应于, 校准；vi. 适应于, 被调节, 相互熟悉而适应	v. alter or regulate so as to achieve accuracy or conform to a standard / v. adapt or conform oneself to new or different conditions / v. make correspondent or conformable
adjustment	ә'dʒʌstmәnt	n. 调整, 调节, 校正；调节	n. making or becoming suitable; adjusting to circumstances / n. the act of adjusting something to match a standard
administer	әd'ministә	vt. 管理, 料理, 执行；vi. 执行遗产管理人的职责, 给予帮助	v. work in an administrative capacity; supervise or be in charge of / v. perform (a church sacrament) ritually / v. give or apply (medications)
administration	әd.mini'streiʃәn	n. 行政, 管理, 政府机关；给药	n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs) / n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something / n. the act of administering medication
administrative	әd'ministrәtiv	a. 管理的, 行政的；行政的, 管理的, 遗产管理的	a. of or relating to or responsible for administration
administrator	әd'ministreitә	n. 管理人, 行政官；遗产管理人员	n. someone who administers a business / n. the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor / n. someone who manages a government agency or department
admiration	.ædmә'reiʃәn	n. 赞赏, 钦佩, 引人赞赏的对象	n. a feeling of delighted approval and liking / n. a favorable judgment
admire	әd'maiә	vt. 赞美, 钦佩, 爱慕；vi. 称赞, 惊奇	v. feel admiration for / v. look at with admiration
admission	әd'miʃәn	n. 准许进入, 入场费, 录用, 承认；加入, 入股	n. the act of admitting someone to enter / n. an acknowledgment of the truth of something
admit	әd'mit	vt. 承认, 接受, 允许进入, 容许；vi. 开向, 容许, 承认	v. declare to be true or admit the existence or reality or truth of / v. allow to enter; grant entry to / v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
adolescence	.ædәu'lesәns	n. 青春期；青年期, 青春期	n. the time period between the beginning of puberty and adulthood / n. in the state that someone is in between puberty and adulthood
adolescent	.ædәu'lesәnt	a. 青春期的, 青少年的；n. 青少年	n. a juvenile between the onset of puberty and maturity / a. relating to or peculiar to or suggestive of an adolescent / s. being of the age 13 through 19
adopt	ә'dɒpt	vt. 采用, 正式通过, 收养, 接受；采取	v. choose and follow; as of theories, ideas, policies, strategies or plans / v. take up and practice as one's own / v. take into one's family
adoption	ә'dɒpʃәn	n. 采用, 采纳, 收养；收养, 采纳, 采用	n. the act of accepting with approval; favorable reception / n. a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)
adore	ә'dɒ:	vt. 崇拜, 爱慕, 喜爱；vi. 崇拜, 爱慕	v. love intensely
adult	'ædʌlt	n. 成人, 成虫；a. 成年的, 成熟的	n. a fully developed person from maturity onward / n. any mature animal / s. (of animals) fully developed
adulthood	ә'dʌlthud	n. 成年；成人期	n. the period of time in your life after your physical growth has stopped and you are fully developed / n. the state (and responsibilities) of a person who has attained maturity
advance	әd'vɑ:ns	n. 前进, 进展, 行过的路程；vi. 前进, 进展, 提高, 上涨；vt. 使前进, 促进, 提出, 提高, 使提前, 预付	n. an amount paid before it is earned / n. increase in price or value / v. move forward, also in the metaphorical sense
advanced	әd'vɑ:nst	a. 在前的, 高级的, 先进的, 年老的；预付的, 预支的, 垫付的	s. farther along in physical or mental development / s. comparatively late in a course of development / s. ahead of the times
advancement	әd'vɑ:nsmәnt	n. 前进, 进步, 提升；徙前术	n. gradual improvement or growth or development
advantage	әd'vɑ:ntidʒ	n. 优点, 便利, 好处, 优势；vt. 有助于	n. the quality of having a superior or more favorable position / n. (tennis) first point scored after deuce / n. benefit resulting from some event or action
adventure	әd'ventʃә	n. 冒险, 冒险经历；v. 冒险	n. a wild and exciting undertaking (not necessarily lawful)
adversary	'ædvәsәri	n. 敌手, 对手；a. 敌手的, 敌对的	n. someone who offers opposition
adverse	'ædvә:s	a. 不利的, 敌对的, 相反的, 逆的；相反的, 敌对的, 逆的	s. contrary to your interests or welfare / s. in an opposing direction
advertise	'ædvәtaiz	vt. 做广告, 通知, 公布；vi. 做广告	v. call attention to / v. make publicity for; try to sell (a product)
advertisement	.ædvә'taizmәnt	n. 广告, 启事, 广告宣传；广告, 公告, 告示	n a public promotion of some product or service
advertiser	'ædvәtaizә	n. 做广告者, 广告客户；广告商, 广告者	n. someone whose business is advertising
advertising	'ædvәtaiziŋ	n. 广告业, 广告；a. 广告的；发广告	n. the business of drawing public attention to goods and services
advice	әd'vais	n. 忠告, 劝告, 意见, 报道, 通知；通知书, 通知, 建议	n. a proposal for an appropriate course of action
advise	әd'vaiz	vt. 劝告, 给...出主意, 通知, 建议；vi. 提意见, 商量	v. inform (somebody) of something
adviser	әd'vaizә	n. 顾问, 劝告者, 指导教师；顾问, 劝告者	n. an expert who gives advice
advisor	әd'vaizә	n. 顾问, 劝告者, 指导教师	n an expert who gives advice
advisory	әd'vaizәri	a. 顾问的, 咨询的, 劝告的；劝告的, 忠告的, 咨询的	n. an announcement that usually advises or warns the public of some threat / s. giving advice
advocacy	'ædvәkәsi	n. 拥护, 支持, 鼓吹, 辩护, 辩护术；辩护, 拥护, 提倡	n. active support of an idea or cause etc.; especially the act of pleading or arguing for something
advocate	'ædvәkeit	n. 提倡者, 拥护者；vt. 主张, 提倡	n. a person who pleads for a cause or propounds an idea / n. a lawyer who pleads cases in court
aerial	'єәriәl	a. 空中的, 航空的, 空气的, 空想的；n. 天线	a. existing or living or growing or operating in the air
aesthetic	i:s'θetik	a. 美学的, 审美的, 有美感的	n. (philosophy) a philosophical theory as to what is beautiful / a. relating to or dealing with the subject of aesthetics / a. concerning or characterized by an appreciation of beauty or good taste
affair	ә'fєә	n. 事件, 事务, 恋爱事件	n. a usually secretive or illicit sexual relationship / n. a vaguely specified social event
affect	ә'fekt	vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于；n. 自觉感情	n. the conscious subjective aspect of feeling or emotion / v. have an effect upon / v. act physically on; have an effect upon
affection	ә'fekʃәn	n. 影响, 病, 喜爱, 情感, 倾向；疾患, 病变, 病; 感情	n. a positive feeling of liking
affiliate	ә'filieit	vt. 使紧密联系, 使附属, 接纳, 收养；vi. 发生联系, 参加	n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization / n. a subsidiary or subordinate organization that is affiliated with another organization / v. join in an affiliation
affiliation	ә.fili'eiʃәn	n. 联系, 从属关系；父权(判定私生儿的父亲)	n. a social or business relationship / n. the act of becoming formally connected or joined
affirm	ә'fә:m	v. 断言, 确认	v. to declare or affirm solemnly and formally as true / v. say yes to
affirmative	ә'fә:mәtiv	a. 肯定的, 赞成的, 积极的；n. 肯定语	n. a reply of affirmation / a. affirming or giving assent / s. expecting the best
affluent	'æfluәnt	a. 丰富的, 富裕的；n. 支流, 富人	n. an affluent person; a person who is financially well off / s. having an abundant supply of money or possessions of value
afford	ә'fɒ:d	vt. 买得起, 足以, 给予	v. be able to spare or give up / v. have the financial means to do something or buy something / v. afford access to
affordable		普及型	s that you have the financial means for
afraid	ә'freid	a. 害怕的, 恐怕的, 遗憾的	a. filled with fear or apprehension / s. filled with regret or concern; used often to soften an unpleasant statement / s. feeling worry or concern or insecurity
African	'æfrikәn	n. 非洲人；a. 非洲的, 非洲人的	n. a native or inhabitant of Africa / a. of or relating to the nations of Africa or their peoples
after	'ɑ:ftә	prep. 在...之后, 由于；conj. 在...之后；adv. 后来	s. located farther aft / r. behind or in the rear
aftermath	'ɑ:ftәmæθ	n. 结果, 后果；后果, 结果	n. the consequences of an event (especially a catastrophic event)
afternoon	'ɑ:ftә'nu:n	n. 午后, 下午	n. the part of the day between noon and evening
afterward	'ɑ:ftәwәd	adv. 然后, 后来	r happening at a time subsequent to a reference time
afterwards	'ɑ:ftәwәdz	adv. 然后, 后来	r happening at a time subsequent to a reference time
again	ә'gein	adv. 再一次, 又, 到原处	r. anew
against	ә'geinst	prep. 反对, 对着, 倚靠	prep. Abreast; opposite to; facing; towards; as, against the / mouth of a river; -- in this sense often preceded by over. / prep. From an opposite direction so as to strike or come in
age	eidʒ	n. 年龄, 老年, 成年, 寿命, 时代, 时期；v. 变老, 成熟	n. how long something has existed / n. a time of life (usually defined in years) at which some particular qualification or power arises / v. begin to seem older; get older
agency	'eidʒәnsi	n. 代理机构, 经销商, 中介；办事处	n. an administrative unit of government / n. a business that serves other businesses / n. the state of being in action or exerting power
agenda	ә'dʒendә	pl. 议程, 日常工作事项；待议事件	n. a temporally organized plan for matters to be attended to / n. a list of matters to be taken up (as at a meeting)
agent	'eidʒәnt	n. 代理商, 政府代表, 动原, 媒介；代理程序	n. an active and efficient cause; capable of producing a certain effect / n. a representative who acts on behalf of other persons or organizations / n. a substance that exerts some force or effect
aggression	ә'greʃәn	n. 侵犯, 侵略；攻击	n. a disposition to behave aggressively / n. a feeling of hostility that arouses thoughts of attack / n. violent action that is hostile and usually unprovoked
aggressive	ә'gresiv	a. 侵略的, 挑畔的, 进取的；侵略的, 爱挑衅的, 行为过火的	a. having or showing determination and energetic pursuit of your ends; positive in his convictions" / s. tending to spread quickly / s. characteristic of an enemy or one eager to fight
aggressively		adv. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆	r. in an aggressive manner
aging	'eidʒiŋ	n. 老化, 变陈；老化, 陈化	n. the organic process of growing older and showing the effects of increasing age / s. growing old
ago	ә'gәu	adv. 以前	s. gone by; or in the past / r. in the past
agony	'ægәni	n. 极大的痛苦, 挣扎；濒死苦闷; 剧痛	n. intense feelings of suffering; acute mental or physical pain / n. a state of acute pain
agree	ә'gri:	vi. 同意, 赞成, 应允, 适合；vt. 承认, 认定, 同意	v. be in accord; be in agreement / v. consent or assent to a condition, or agree to do something / v. show grammatical agreement
agreement	ә'gri:mәnt	n. 同意, 合约, 协议；契约, 协议, 协定	n. the statement (oral or written) of an exchange of promises / n. compatibility of observations / n. harmony of people's opinions or actions or characters
agricultural	.ægri'kʌltʃәrәl	a. 农业的；农业的, 耕作的	a. relating to or used in or promoting agriculture or farming
agriculture	'ægrikʌltʃә	n. 农业；农业, 农学	n. the class of people engaged in growing food
ah	ɑ:	interj. 啊, 哈	interj. An exclamation, expressive of surprise, pity, complaint / entreaty, contempt, threatening, delight, triumph, etc., according to / the manner of utterance.
ahead	ә'hed	a. 领先的, 预先的, 向前的；adv. 领先, 预先, 向前, 胜于, 在前面, 在将来	s. having the leading position or higher score in a contest / r. at or in the front / r. toward the future; forward in time
aid	eid	n. 帮助, 外援, 助手；vt. 援助, 帮助, 有助于；vi. 帮助	n. a resource / n. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose / n. money to support a worthy person or cause
aide	eid	n. 助手, 副官；数据输入的可说明性	n. someone who acts as assistant
AIDS	eidz	n. 爱滋病(获得性免疫缺陷综合征)；高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统；美国决策学学会, 信息自动显示系统, 自动综合调试系统	n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
aim	eim	n. 目标, 瞄准, 击中目标的能力；vi. 对准目标, 致力, 打算；vt. 瞄准	n. the goal intended to be attained (and which is believed to be attainable) / n. the action of directing something at an object / v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
air	єә	n. 空气, 旋律, 态度；vt. 晾, 使通风, 夸耀	n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of / n. the region above the ground / n. a distinctive but intangible quality surrounding a person or thing
airborne	'єәbɒ:n	a. 升空的, 空运的, 空中传播的, 空降的	s. moved or conveyed by or through air
aircraft	'єәkræft	n. 航空器, 飞机；航空器	n. a vehicle that can fly
airline	'єәlain	n. 航线, 航线的设备, 航空公司	n. a hose that carries air under pressure / n. a commercial enterprise that provides scheduled flights for passengers
airplane	'єәplein	n. 飞机；飞机	n. an aircraft that has a fixed wing and is powered by propellers or jets
airport	'єәpɒ:t	n. 飞机场；航空站, 机场	n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
aisle	ail	n. 走廊, 侧廊, 过道；走道	n. a long narrow passage (as in a cave or woods) / n. passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores / n. part of a church divided laterally from the nave proper by rows of pillars or columns
akin	ә'kin	a. 同类的, 同族的, 同源的	s. similar in quality or character / s. related by blood
